Sheet,WBS,S.NO,Description,Unit,Qty
"2.1 Civil Works","2.1","A","CIVIL & STRUCTURAL WORKS","",0
"2.1 Civil Works","2.1","1.1","DEMOLITION OF RCC WORKS","",0
"2.1 Civil Works","2.1","2.1","Upto 1.5m","Cum",286
"2.1 Civil Works","2.1","2.2","Upto 1.5m to 3.0m","Cum",240
"2.1 Civil Works","2.1","2.3","Upto 3.0m to 4.5m","Cum",222
"2.1 Civil Works","2.1","3.1","Filling with excavated earth","Cum",272
"2.1 Civil Works","2.1","11.1.1","20 mm dia anchor bolts, Grade 8.8, indicative length 0.75 m","Nos",72
"2.1 Civil Works","2.1","11.1.2","24 mm dia anchor bolts, Grade 8.8, indicative length 1.10 m","Nos",24
"2.1 Civil Works","2.1","11.1.3","36 mm dia anchor bolts, Grade 4.6, indicative length 0.85 m","Nos",624
"2.1 Civil Works","2.1","11.1.4","42 mm dia anchor bolts, Grade 4.6, indicative length 0.85 m","Nos",36
"2.1 Civil Works","2.1","12.1","10 mm dia bars inserted in 14 mm dia drill hole, indicative embedment 200 mm, indicative projection 1200 mm","Nos",750
"2.1 Civil Works","2.1","12.2","12 mm dia bars inserted in 16 mm dia drill hole, indicative embedment 200 mm, indicative projection 600 mm","Nos",5950
"2.1 Civil Works","2.1","12.3","16 mm dia bars inserted in 20 mm dia drill hole, indicative embedment 200 mm, indicative projection 1800 mm","Nos",140
"2.1 Civil Works","2.1","12.4","20 mm dia bars inserted in 25 mm dia drill hole, indicative embedment 200 mm, indicative projection 850 mm","Nos",1332
"2.1 Civil Works","2.1","13.1.1","For RCC Raft and Walls","Sqm",277
"2.1 Civil Works","2.1","13.2.1","For top slab","Sqm",62
"2.1 Civil Works","2.1","15.1","DRAIN TRENCH","",0
"2.1 Civil Works","2.1","15.2","SUMP","",0
"2.2 Infra Works","2.2","A","INFRA WORKS","",0
"2.2 Infra Works","2.2","1.1","Pole-mounted signages (no left turn) demounting and storage","Nos",2
"2.2 Infra Works","2.2","1.2","Informatory sign boards shifting","Nos",2
"2.2 Infra Works","2.2","1.3","Removal of Bollards","Nos",2
"2.2 Infra Works","2.2","1.4","NTL PC ( No left turn Pedestrian crossing) signage  removal","Nos",1
"2.2 Infra Works","2.2","1.5","Existing kerb removal","Nos",28
"2.2 Infra Works","2.2","1.6","Removal of Handrail at the loading platform","Rmt",5
