
=== 10.1 Non-CR Elect. ===
  Electrical Equipment   | Disconnect Switches | 240V - Fusible 30A × 3
  Electrical Equipment   | Disconnect Switches | 480V - Non-Fusible 60A × 4
  Electrical Equipment   | MH_ GF POWER PANEL | 4 NOS. OF VFD PANEL FOR WWTP × 3
  Electrical Equipment   | MH_ GF POWER PANEL | EF 13 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | EF 14 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | ELVDB × 2
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C2CB-415RPDB-002 × 3
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C3CB-FAC-415SSB-502 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C3CC-415AUXP-001 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C3CC-415UPSAUXP-001 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C3CC-CTRL-415UPSDB-401 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C3CC-ELDB-415-601 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C3CD-LDB-415-502-1 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C4CA-415RPDB-502-5 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C4CB-415RPDB-502-3 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C4CB-RTU-415-013 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1-C4CD-CTRL-415UPS-004 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | MSI1-CUB-1M-C4CA-415RPDB-502-4 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | PROPOSED VENDOR CONTROL PANEL UPW × 1
  Electrical Equipment   | MH_ GF POWER PANEL | PROPOSED VENDOR CONTROL PANEL WWTP × 1
  Electrical Equipment   | MH_ GF POWER PANEL | SOLVENT SYSTEM CONTROL PANEL-2 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | UPW VENDOR PANEL × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VFD MAU 6 × 2
  Electrical Equipment   | MH_ GF POWER PANEL | VFD MAU 7 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VFD MAU 9 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD ACID SCRUBBER FAN-1 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD ACID SCRUBBER FAN-2 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD ACID SCRUBBER FAN-3 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD AMMONIA FAN-1 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD AMMONIA FAN-2 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD AMMONIA FAN-3 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD SOLVENT PRIMARY FAN-2 × 1
  Electrical Equipment   | MH_ GF POWER PANEL | VSD SOLVENT PRIMARY FAN-3 × 2
  Electrical Equipment   | MH_ GF POWER PANEL | WWTP VENDOR PANEL × 1
