NWC Source | BQ Sheet | Revit Category | Type Name | Instance Count
-----------|----------|----------------|-----------|---------------
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | <Room Separation> | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Curtain Panels | System Panel | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Doors | mh_DOOR_Double Door Vision Panel | 2
CUB_A_ARCH | 4.1 Non-CR Architecture | Doors | mh_DOOR_Single Door  Vision Panel_Metal | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Doors | mh_DOOR_Rolling Shutter | 2
CUB_A_ARCH | 4.1 Non-CR Architecture | Floors | Floor | 3
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | Face based opening | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | Generic Models 9 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | Generic Models 10 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | Generic Models 8 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | Generic Models 20 | 1
