ALL_D_INAP         | 7.1 Utility_CDA           | 7A_CDA.dwg                | 692 | CDA(2), CDA-100-SS304L-005(133), CDA-100-SS304L-005_Supports(16), CDA-40-SS304L-006(147), CDA-40-SS304L-006_Supports(22)
ALL_D_INAP         | 7.1 Utility_CDA           | 7A_HPCDA.dwg              | 894 | 0(12), CDA-50(59), CDA-50_Supports(20), HPCDA(2), HPCDA-50(251), HPCDA-50_Supports(54), HPCDA-VENDOR SCOPE(401), HPCDA-V
ALL_D_INAP         | 7.1 Utility_CDA           | 7A_ICA.dwg                | 1874 | 0(434), _Supports(247), ICA(565), ICA_Supports(12), SUPPORT(337), SW_PW(261), SW_PW_Supports(18)
ALL_D_INAP         | 7.1 Utility_CDA           | 7A_NG.dwg                 | 433 | 0(145), _Supports(2), NG(162), NG_Supports(124)
ALL_D_INAP         | 7.1 Utility_CDA           | 7A_PV.dwg                 | 1007 | 0(2), PV(561), PV-100-UPVC-002(5), PV-100-UPVC-002_Supports(14), PV-50-UPVC-005(142), PV-50-UPVC-005_Supports(55), PV-50
ALL_D_PRWT         | 8 Waste Water             | 7A_APM.dwg                | 388 | APM-50-PVC-002-B(132), APM-50-PVC-002-B_Supports(45), SUPPORT(211)
ALL_D_PRWT         | 8 Waste Water             | 7A_CCW.dwg                | 458 | 0(15), CCW-80-PVC-005(130), CCW-80-PVC-005_SUPPORTS(62), SUPPORT(251)
ALL_D_PRWT         | 8 Waste Water             | 7A_DIW.dwg                | 144 | 0(50), 7A_DIWS(43), 7A_DWR(51)
ALL_D_PRWT         | 8 Waste Water             | 7A_IPAL.dwg               | 251 | 0(17), IPAL-50-PVC-012(146), IPAL-50-PVC-012_Supports(54), SUPPORT(34)
ALL_D_PRWT         | 8 Waste Water             | 7A_IW.dwg                 | 1259 | 0(3), _Supports(7), SUPPORT(498), WWR+IW-100-PVC-005(10), WWR+IW-50-PVC-008(586), WWR+IW-50-PVC-011(4), WWS-100-PVC-012(
ALL_D_PRWT         | 8 Waste Water             | 7A_MMW.dwg                | 717 | 0(8), MMW-50-PVC-005(289), MMW-50-PVC-005_Supports(92), SUPPORT(318), WWS-100-PVC-009(10)
ALL_D_PRWT         | 8 Waste Water             | 7A_PCW.dwg                | 1150 | 0(61), 7A_PCWR(119), PCWR-100-SS304L-005(132), PCWR-200-SS304L-07(254), PCWS-100-SS304L-006(121), PCWS-200-SS304L-OO8(27
ALL_D_PRWT         | 8 Waste Water             | 7A_SW.dwg                 | 622 | 0(86), SUPPORT(169), SW-25-GI-004(94), SW-25-GI-004_Supports(2), SW-80-GI-001(199), SW-80-GI-001_Supports(72)
ALL_D_PRWT         | 8 Waste Water             | 7A_SWPD.dwg               | 450 | 0(20), _Supports(165), SUPPORT(35), SWPD-50-SS304-005(153), SWPD-50-SS304-005_Supports(77)
ALL_D_PRWT         | 8 Waste Water             | 7A_TMAH.dwg               | 363 | 0(14), _Supports(177), TMAH-50-PP-005(111), TMAH-50-PP-005_Supports(61)
ALL_D_PRWT         | 8 Waste Water             | 7A_UPW.dwg                | 734 | 0(201), 7A_UPWR(280), 7A_UPWS(253)
ALL_D_PRWT         | 8 Waste Water             | 7A_VENT.dwg               | 1245 | 0(11), SUPPORT(413), VG-25-PVC-003(373), VG-25-PVC-006(23), VG-25-PVC-009(60), VG-25-PVC-009_Supports(5), VG-50-PVC-002(
ALL_D_PRWT         | 8 Waste Water             | 7A_WOR-431.dwg            | 265 | 0(15), SUPPORT(44), W-OR-431-50-SS304-005(142), W-OR-431-50-SS304-005_Supports(64)
ALL_D_PRWT         | 8 Waste Water             | CUB-WWTP-LINES.dwg        | 930 | 0(185), _Supports(315), APM(41), EDTA(82), IW(45), MMW(54), NON-SOLVENT-CHEMICAL(82), TMAH(20), VG-25-PVC-009(16), VG-25
ALL_M_EQPM         | 6.2 Exhaust Equipment     | 7A_BUMPING_EQUIPMENTS.dwg | 140 | 0(114), _Green(3), Chemical Area  Future(2), Chemical Area  New(2), MHI(6), PIPE_TMAH(11), PIPE_WWR(2)
ALL_M_EQPM         | 6.2 Exhaust Equipment     | 7A_Tool.dwg               | 503 | 0(31), 7A_TOOL(354), _Production tools(118)
ALL_N_GASS         | 12. Gas                   | 0                         | 607 | (unnamed)(607)
ALL_N_GASS         | 12. Gas                   | 1.5_-SS316L EP-PAR        | 313 | (unnamed)(313)
ALL_N_GASS         | 12. Gas                   | 1.5_-SS316L EP-PAR_Supports | 299 | (unnamed)(299)
ALL_N_GASS         | 12. Gas                   | 10_-EXHUST-CLEAN.         | 18 | (unnamed)(18)
ALL_N_GASS         | 12. Gas                   | 14_ SS304_ETFE ACID EXHAUST-CORR. | 66 | (unnamed)(66)
